party;year;member_fee;mandate_holder_contributions_and_sim;donations_indiv;donations_legal;income_business_participations;income_other sources;income_events_sales;gov_funds;other_income;income_total;exp_personnel;exp_ongoing_operations;exp_general_political_work;exp_elec_camp;exp_asset_management;exp_other_interest;exp_other;exp_total;net;exp_corprate_activities
REP;2010;142647,12;990;2776866,69;0;0;1098,02;461,16;1337482,06;2202,26;4261747,31;18154,92;866677,2;115671,49;2955349,5;0;0;399524,4;4355377,51;-93630,2;x
REP;2011;132266,17;600;3320188,96;300;0;2740,39;2172,57;1424273,83;4810,27;4887352,19;15274,9;789520,92;23842,44;3574401,65;0;0;13030,14;4416070,05;471282,14;x
REP;2012;120713,02;1080;3300531,16;0;0;4774,5;1716,5;1679430,95;1398,65;5109644,78;5725,02;826986,39;126628,01;3462427,08;0;0;5610,77;4427377,27;682267,51;x
REP;2013;119894,34;1236;2560089,64;384,96;0;1550,78;1519,25;1633699,66;2327,01;4320701,64;0;1144728,3;59308,64;3788780,24;0;0;240751,61;5233568,79;-912867,15;x
REP;2014;89730,8;350;2972803,9;500;0;223,69;1392,52;995238,26;156603,89;4216843,06;6300,84;919103,51;48831,76;3915529,33;0;0;328101,25;5217688,69;-1001023,63;x
REP;2015;x;x;x;x;x;x;x;1160321,02;x;x;x;x;x;x;x;x;x;x;x;x
REP;2016;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;x;x
REP;2017;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;x;x
REP;2018;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;x;x
REP;2019;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;x;x
